Date,Item Code,Sales Qty,Price in USD,Purchase Date,ItemCode,Item Description,Purchase Qty,Purchase Amount,Supplier,Code,Group,Category,"Quantity
On Hand","Retail
Price","Opening
Cost USD",Color,Size,month_name,year
4/11/2021,929,1,7.7,8/4/2021,929,41027665 T-SHIRT MEN ALL IN MOTION M,1,5,Ali Taleb,929,T-SHIRT,MEN,0,18,5,GREEN,M,August,2021
4/11/2021,766,0,0,8/4/2021,766,558352 JEANS PANT MEN GOODFELLOW 34,1,7,Ali Taleb,766,JEANS PANT,MEN,0,20,7,BLUE,34,August,2021
4/11/2021,923,1,7.7,8/4/2021,923,RIN980806 POLO T-SHIRT MEN HANES M,1,6,Ali Taleb,923,POLO T-SHIRT,MEN,0,20,6,NAVY,M,August,2021
4/11/2021,858,1,7.7,8/4/2021,858,561367 SHIRT MEN GOODFELLOW M,1,6,Ali Taleb,858,SHIRT,MEN,0,18,6,BLUE WHITE,M,August,2021
4/11/2021,526,1,38.51,10/2/2021,526,FY0245 SHOES MEN ADIDAS 42 2\3,1,35,Ali Taleb,526,SHOES,MEN,0,55,35,GREY,42 2\3,October,2021
4/11/2021,776,1,11.55,8/4/2021,776,543222 JEANS PANT MEN GOODFELLOW 32,1,7,Ali Taleb,776,JEANS PANT,MEN,0,20,7,BLUE,32,August,2021
4/12/2021,612,1,24.65,2/24/2021,612,518480-11I SHOES MEN LEVIS 42,1,20,Ali Taleb,612,SHOES,MEN,0,28,20,BEIJ,42,February,2021
4/13/2021,599,2,38.73,10/2/2021,599,SOCKS-PUMA SOCKS MEN PUMA 6 12,35,420,Ali Taleb,599,SOCKS,MEN,0,22,12,BLACK\WHITE,6 12,October,2021
4/14/2021,582,1,53.27,10/2/2021,582,FW6699 SHOES MEN REEBOK 42,1,37,Ali Taleb,582,SHOES,MEN,0,60,37,BLUE,42,October,2021
4/14/2021,599,1,19.53,10/2/2021,599,SOCKS-PUMA SOCKS MEN PUMA 6 12,35,420,Ali Taleb,599,SOCKS,MEN,0,22,12,BLACK\WHITE,6 12,October,2021
